City/Town,Leading Candidate,Rachel Shaw (P),Write-Ins,Blanks,Overvotes,Total Votes Cast,Rachel Shaw (P) Percent Votes Cast,Overvotes Percent
South Burlington,Rachel Shaw (P),3,0,3,0,6,50.00%,0.00%
South Hero,Rachel Shaw (P),0,1,0,0,1,0.00%,0.00%
Springfield,Rachel Shaw (P),3,1,4,0,8,37.50%,0.00%
Stamford,,0,0,0,0,0,0.00%,0.00%
Stannard,,0,0,0,0,0,0.00%,0.00%
Starksboro,Rachel Shaw (P),0,1,0,0,1,0.00%,0.00%
Stockbridge,Rachel Shaw (P),1,0,0,0,1,100.00%,0.00%
Stowe,Rachel Shaw (P),1,0,0,0,1,100.00%,0.00%
Strafford,Rachel Shaw (P),0,1,0,0,1,0.00%,0.00%
Stratton,,0,0,0,0,0,0.00%,0.00%
Sudbury,,0,0,0,0,0,0.00%,0.00%
Sunderland,,0,0,0,0,0,0.00%,0.00%
Sutton,,0,0,0,0,0,0.00%,0.00%
Swanton,Rachel Shaw (P),1,1,0,0,2,50.00%,0.00%
Thetford,Rachel Shaw (P),1,0,0,0,1,100.00%,0.00%
Tinmouth,,0,0,0,0,0,0.00%,0.00%
Topsham,Rachel Shaw (P),2,1,0,0,3,66.67%,0.00%
Townshend,Rachel Shaw (P),1,0,1,0,2,50.00%,0.00%
Troy,Rachel Shaw (P),1,0,0,0,1,100.00%,0.00%
Tunbridge,Rachel Shaw (P),0,0,1,0,1,0.00%,0.00%
Underhill,Rachel Shaw (P),5,0,0,0,5,100.00%,0.00%
Vergennes,Rachel Shaw (P),2,1,0,0,3,66.67%,0.00%
Vernon,Rachel Shaw (P),2,0,0,0,2,100.00%,0.00%
Vershire,Rachel Shaw (P),0,0,1,0,1,0.00%,0.00%
Victory,,0,0,0,0,0,0.00%,0.00%
Waitsfield,Rachel Shaw (P),1,0,0,0,1,100.00%,0.00%
Walden,,0,0,0,0,0,0.00%,0.00%
Wallingford,Rachel Shaw (P),2,0,0,0,2,100.00%,0.00%
Waltham,Rachel Shaw (P),1,0,0,0,1,100.00%,0.00%
Wardsboro,Rachel Shaw (P),0,2,0,0,2,0.00%,0.00%
Warren,Rachel Shaw (P),1,0,0,0,1,100.00%,0.00%
Washington,,0,0,0,0,0,0.00%,0.00%
Waterbury,Rachel Shaw (P),0,0,1,0,1,0.00%,0.00%
Waterford,Rachel Shaw (P),1,0,0,0,1,100.00%,0.00%
