Race,County,District,Candidate Name,Party,Percent of Votes,Count of Votes,# Precincts Counted,Total # of Precincts,Winner Flag
ATTORNEY GENERAL,CHITTENDEN,CHITTENDEN-3,H. BROOKE PAIGE,GOP,0%,0,0,275,false
ATTORNEY GENERAL,CHITTENDEN,GRAND ISLE-CHITTENDEN,T.J. DONOVAN,Dem,0%,0,0,275,false
ATTORNEY GENERAL,CHITTENDEN,GRAND ISLE-CHITTENDEN,CRIS ERICSON,Prog,0%,0,0,275,false
ATTORNEY GENERAL,CHITTENDEN,GRAND ISLE-CHITTENDEN,H. BROOKE PAIGE,GOP,0%,0,0,275,false
ATTORNEY GENERAL,CHITTENDEN,WASHINGTON-CHITTENDEN,T.J. DONOVAN,Dem,0%,0,0,275,false
ATTORNEY GENERAL,CHITTENDEN,WASHINGTON-CHITTENDEN,CRIS ERICSON,Prog,0%,0,0,275,false
ATTORNEY GENERAL,CHITTENDEN,WASHINGTON-CHITTENDEN,H. BROOKE PAIGE,GOP,0%,0,0,275,false
ATTORNEY GENERAL,ESSEX,ESSEX-CALEDONIA,T.J. DONOVAN,Dem,0%,0,0,275,false
ATTORNEY GENERAL,ESSEX,ESSEX-CALEDONIA,CRIS ERICSON,Prog,0%,0,0,275,false
ATTORNEY GENERAL,ESSEX,ESSEX-CALEDONIA,H. BROOKE PAIGE,GOP,0%,0,0,275,false
ATTORNEY GENERAL,ESSEX,ESSEX-CALEDONIA-ORLEANS,T.J. DONOVAN,Dem,0%,0,0,275,false
ATTORNEY GENERAL,ESSEX,ESSEX-CALEDONIA-ORLEANS,CRIS ERICSON,Prog,0%,0,0,275,false
ATTORNEY GENERAL,ESSEX,ESSEX-CALEDONIA-ORLEANS,H. BROOKE PAIGE,GOP,0%,0,0,275,false
ATTORNEY GENERAL,FRANKLIN,FRANKLIN 1,T.J. DONOVAN,Dem,0%,0,0,275,false
ATTORNEY GENERAL,FRANKLIN,FRANKLIN 1,CRIS ERICSON,Prog,0%,0,0,275,false
ATTORNEY GENERAL,FRANKLIN,FRANKLIN 1,H. BROOKE PAIGE,GOP,0%,0,0,275,false
