City/Town,Leading Candidate,Mike Pieciak (D),Write-Ins,Blanks,Overvotes,Total Votes Cast,Mike Pieciak (D) Percent Votes Cast,Overvotes Percent
North Hero,Mike Pieciak (D),188,1,25,0,214,87.85%,0.00%
Northfield,Mike Pieciak (D),397,3,52,0,452,87.83%,0.00%
Norton,Mike Pieciak (D),9,0,2,0,11,81.82%,0.00%
Norwich,Mike Pieciak (D),943,9,167,0,1119,84.27%,0.00%
Orange,Mike Pieciak (D),49,1,8,0,58,84.48%,0.00%
Panton,Mike Pieciak (D),113,0,5,0,118,95.76%,0.00%
Pawlet,Mike Pieciak (D),137,2,15,0,154,88.96%,0.00%
Peru,Mike Pieciak (D),60,0,9,0,69,86.96%,0.00%
Pittsfield,Mike Pieciak (D),51,0,9,0,60,85.00%,0.00%
Pittsford,Mike Pieciak (D),175,4,15,0,194,90.21%,0.00%
Plainfield,Mike Pieciak (D),244,1,45,0,290,84.14%,0.00%
Pomfret,Mike Pieciak (D),206,1,38,0,245,84.08%,0.00%
Poultney,Mike Pieciak (D),166,2,22,0,190,87.37%,0.00%
Proctor,Mike Pieciak (D),64,2,14,0,80,80.00%,0.00%
Putney,Mike Pieciak (D),442,0,0,52,494,89.47%,10.53%
Reading,Mike Pieciak (D),121,0,10,0,131,92.37%,0.00%
Richford,Mike Pieciak (D),69,1,7,0,77,89.61%,0.00%
Ripton,Mike Pieciak (D),126,0,17,0,143,88.11%,0.00%
Rockingham,Mike Pieciak (D),491,11,64,0,566,86.75%,0.00%
Roxbury,Mike Pieciak (D),107,0,15,0,122,87.70%,0.00%
Rupert,Mike Pieciak (D),73,0,4,0,77,94.81%,0.00%
Rutland City,Mike Pieciak (D),837,4,30,0,871,96.10%,0.00%
Rutland Town,Mike Pieciak (D),281,2,16,0,299,93.98%,0.00%
Saint Albans Town,Mike Pieciak (D),390,4,28,0,422,92.42%,0.00%
Saint George,Mike Pieciak (D),97,2,15,0,114,85.09%,0.00%
Saint Johnsbury,Mike Pieciak (D),560,8,59,0,627,89.31%,0.00%
Sandgate,Mike Pieciak (D),51,0,1,0,52,98.08%,0.00%
Searsburg,Mike Pieciak (D),9,0,0,0,9,100.00%,0.00%
Shaftsbury,Mike Pieciak (D),440,4,87,0,531,82.86%,0.00%
Sharon,Mike Pieciak (D),212,3,38,0,253,83.79%,0.00%
Sheffield,Mike Pieciak (D),43,0,7,0,50,86.00%,0.00%
Shoreham,Mike Pieciak (D),137,0,22,0,159,86.16%,0.00%
South Burlington,Mike Pieciak (D),667,7,162,0,836,79.78%,0.00%
South Hero,Mike Pieciak (D),357,5,41,0,403,88.59%,0.00%
Springfield,Mike Pieciak (D),856,6,97,0,959,89.26%,0.00%
Stamford,Mike Pieciak (D),39,0,8,0,47,82.98%,0.00%
Stannard,Mike Pieciak (D),23,0,1,0,24,95.83%,0.00%
Starksboro,Mike Pieciak (D),241,1,25,0,267,90.26%,0.00%
Stockbridge,Mike Pieciak (D),84,0,0,0,84,100.00%,0.00%
Strafford,Mike Pieciak (D),309,1,44,0,354,87.29%,0.00%
Stratton,Mike Pieciak (D),12,0,3,0,15,80.00%,0.00%
Sudbury,Mike Pieciak (D),68,0,6,0,74,91.89%,0.00%
Sunderland,Mike Pieciak (D),103,0,10,0,113,91.15%,0.00%
Sutton,Mike Pieciak (D),44,0,10,0,54,81.48%,0.00%
Swanton,Mike Pieciak (D),265,3,25,0,293,90.44%,0.00%
Thetford,Mike Pieciak (D),554,4,70,0,628,88.22%,0.00%
Tinmouth,Mike Pieciak (D),56,2,2,0,60,93.33%,0.00%
Townshend,Mike Pieciak (D),143,1,0,22,166,86.14%,13.25%
Troy,Mike Pieciak (D),59,3,7,0,69,85.51%,0.00%
Underhill,Mike Pieciak (D),524,3,110,0,637,82.26%,0.00%
Vergennes,Mike Pieciak (D),417,0,64,0,481,86.69%,0.00%
Vernon,Mike Pieciak (D),150,2,17,0,169,88.76%,0.00%
Victory,Mike Pieciak (D),5,0,0,0,5,100.00%,0.00%
Waitsfield,Mike Pieciak (D),333,3,33,0,369,90.24%,0.00%
Wallingford,Mike Pieciak (D),154,0,13,0,167,92.22%,0.00%
Wardsboro,Mike Pieciak (D),66,2,8,0,76,86.84%,0.00%
Waterbury,Mike Pieciak (D),774,3,84,0,861,89.90%,0.00%
Waterford,Mike Pieciak (D),116,1,17,0,134,86.57%,0.00%
Waterville,Mike Pieciak (D),46,0,6,0,52,88.46%,0.00%
Wells,Mike Pieciak (D),70,1,5,0,76,92.11%,0.00%
West Fairlee,Mike Pieciak (D),56,0,6,0,62,90.32%,0.00%
West Haven,Mike Pieciak (D),22,0,4,0,26,84.62%,0.00%
West Rutland,Mike Pieciak (D),101,0,7,0,108,93.52%,0.00%
West Windsor,Mike Pieciak (D),222,7,51,0,280,79.29%,0.00%
Westfield,Mike Pieciak (D),49,1,3,0,53,92.45%,0.00%
Westford,Mike Pieciak (D),326,5,62,1,394,82.74%,0.25%
Weston,Mike Pieciak (D),134,2,21,0,157,85.35%,0.00%
Weybridge,Mike Pieciak (D),204,0,24,0,228,89.47%,0.00%
Wheelock,Mike Pieciak (D),65,0,4,0,69,94.20%,0.00%
Whitingham,Mike Pieciak (D),92,1,8,0,101,91.09%,0.00%
Williamstown,Mike Pieciak (D),189,2,12,0,203,93.10%,0.00%
Williston,Mike Pieciak (D),1789,7,343,0,2139,83.64%,0.00%
Wilmington,Mike Pieciak (D),161,0,15,0,176,91.48%,0.00%
Windham,Mike Pieciak (D),67,0,5,0,72,93.06%,0.00%
Windsor,Mike Pieciak (D),400,2,81,0,483,82.82%,0.00%
Winooski,Mike Pieciak (D),1141,23,203,0,1367,83.47%,0.00%
Wolcott,Mike Pieciak (D),142,3,22,0,167,85.03%,0.00%
Woodbury,Mike Pieciak (D),117,0,12,0,129,90.70%,0.00%
Woodford,Mike Pieciak (D),25,0,4,0,29,86.21%,0.00%
Woodstock,Mike Pieciak (D),562,4,170,0,736,76.36%,0.00%
Worcester,Mike Pieciak (D),221,2,47,0,270,81.85%,0.00%
